X0	N1	N2	P3	N3	P4	P2	N4	N5	N6	N7	P1
PD37520b_lo0114	0.00113623395149786	0.216806704707561	0.208323109843081	0.0951633380884451	0.344755349500713	0.0630363766048502	0.0162182596291013	0.0315057061340942	0.015330242510699	0.00196647646219686	0.00340156918687589	0.00235663338088445
PD37520b_lo0115	0.0243806451612903	0.212488709677419	0.0587693548387097	0.0859370967741935	0.426093548387097	0.0661193548387097	0.0416790322580645	0.0509387096774194	0.00797903225806452	0.00347903225806452	0.0201032258064516	0.00203225806451613
PD37726b_lo0008+PD37726b_lo0048	0.000134604598990466	0.199379136287156	0.0143166012338755	0.00956197420078519	0.0336127313516545	0.447314918676388	0.280781828379136	0.0131312394840157	0.000535894559730791	0.000507291082445317	0.000517666853617499	0.00020611329220415
PD37726b_lo0015	0.00117391304347826	0.539946086956522	0.0925478260869565	0.0717652173913043	0.057664347826087	0.01476	0.0369704347826087	0.16136	0.00635826086956522	0.0128069565217391	0.00308521739130435	0.00156173913043478
PD37726b_lo0028	0.00478507462686567	0.490468656716418	0.0990298507462687	0.108794029850746	0.173626865671642	0.00119402985074627	0.00496417910447761	0.081910447761194	0.0105970149253731	0.00335522388059702	0.0180716417910448	0.00320298507462687
PD37726b_lo0035+PD37726b_lo0181	0.000132468735525706	0.208838351088467	0.0366174154701251	0.017780453913849	0.0396679018063918	0.390902269569245	0.273621584066698	0.0299726725335804	0.00098008337193145	0.00100046317739694	0.000343214451134785	0.000143121815655396
PD37726b_lo0054	0.00187205387205387	0.356262626262626	0.0718888888888889	0.168185185185185	0.120845117845118	0.00173063973063973	0.00613131313131313	0.238215488215488	0.0245488215488215	0.0025016835016835	0.00691582491582492	0.000902356902356902
PD37726b_lo0056	0.00346682464454976	0.491054502369668	0.0484834123222749	0.13131990521327	0.0887369668246445	0.00705924170616114	0.0153341232227488	0.171071090047393	0.0202890995260664	0.0137132701421801	0.00321327014218009	0.00625829383886256
PD37726b_lo0071+PD37726b_lo0079+PD37726b_lo0091	0.000434309623430962	0.533961506276151	0.0723372384937239	0.079018410041841	0.0817004184100418	0.0073347280334728	0.00280418410041841	0.13508870292887	0.023271129707113	0.0586937238493724	0.0044744769874477	0.000881171548117155
PD37726b_lo0076	0.00166440677966102	0.518990960451977	0.127380790960452	0.171092655367232	0.0374101694915254	0.000351412429378531	0.087154802259887	0.0422361581920904	0.00570169491525424	0.00165197740112994	0.00556497175141243	8e-04
PD37726b_lo0154	0.0223843329253366	0.664702570379437	0.0483255813953488	0.113761321909425	0.0573929008567931	0.000373317013463892	0.00154957160342717	0.0759485924112607	0.00985556915544676	0.00121787025703794	0.0028984088127295	0.00158996328029376
PD37726b_lo0183	9.90439770554493e-05	0.242047036328872	0.062078776290631	0.0237774378585086	0.0310065009560229	0.335338049713193	0.299530019120459	0.0041074569789675	0.0005717017208413	0.000218355640535373	0.000849713193116635	0.000375908221797323
PD37726c_lo0046	0.000215938303341902	0.197427163667524	0.044869323050557	0.0382219365895458	0.0151928020565553	0.401002999143102	0.295283204798629	0.00256598114824336	0.00249271636675236	0.00137146529562982	0.000933161953727506	0.000423307626392459
PD37726c_lo0201	0.00120507399577167	0.579628964059197	0.126109936575053	0.170983086680761	0.0484661733615222	0.00216701902748414	0.0216268498942918	0.0176384778012685	0.00677589852008457	0.0206427061310782	0.00341966173361522	0.00133615221987315
PD37726c_lo0238	0.000502637528259231	0.353282592313489	0.0743948756593821	0.0473127354935946	0.00835041446872645	0.261130369253956	0.169415222305953	0.00420949510173323	0.0194325546345139	0.060276563677468	0.000730972117558402	0.000961567445365486
PD38777j_lo0017	0.00038228055783429	0.252277686628384	0.366250615258409	0.0194680065627564	0.0574257588187039	0.00147169811320755	0.00371616078753076	0.0104561115668581	0.00680926989335521	0.280291222313372	0.000622231337161608	0.00082895816242822
PD38777k_lo0016	0.000845553822152886	0.340184087363495	0.333033073322933	0.0690673946957878	0.019801248049922	0.00442870514820593	0.00781622464898596	0.0107613104524181	0.0595435257410296	0.136378471138846	0.000890795631825273	0.0172496099843994
PD38777k_lo0044	0.00258591065292096	0.239949217258496	0.320853188239786	0.0422546773577701	0.0255154639175258	0.140260977472318	0.100399770904926	0.00610882016036655	0.0769700267277587	0.04008209240168	0.00269224894998091	0.00232760595647194
PD38778b_lo0006	0.000166467065868263	0.310206706586826	0.445165269461078	0.0633322155688623	0.0598843113772455	0.00055497005988024	0.00407664670658683	0.00239544910179641	0.0502958083832335	0.0625681437125749	0.000786107784431138	0.000567904191616766
PD38778b_lo0009	6.90212995416554e-05	0.333900242653006	0.417576166082502	0.115846319762739	0.0783429495820976	0.000359126449177676	0.000631167430574279	0.00197762200053923	0.00454219466163386	0.0455726610946347	0.000704232946885953	0.000478296036667565
PD38778f_lo0008	0.000747088683189012	0.0924144520752463	0.459419528217378	0.260824126604957	0.0938169602866527	0.0027261869214691	0.00144102717229024	0.00393401015228426	0.048255897282771	0.00202269334129591	0.0107847118542849	0.0236133174081815
PD38778g_lo0003	0.00429122414756847	0.190315259921744	0.320475684740078	0.236338736724427	0.135026830631638	0.0100877585243153	0.00314141978759083	0.0685013974287311	0.0133258803801006	0.00228451648965903	0.00709726103968698	0.00911403018446059
PD38778g_lo0040	0.000342050643420506	0.22708800332088	0.420753839767538	0.203777501037775	0.0908663345786633	0.00104732254047323	0.0022648401826484	0.0395159817351598	0.0112772934827729	0.00041884599418846	0.000848069738480697	0.00179991697799917
PD38778h_lo0006	0.000508948545861298	0.234739932885906	0.271589485458613	0.268852348993289	0.128796420581655	0.00133109619686801	0.0110363534675615	0.0237337807606264	0.0176890380313199	0.0233042505592841	0.00249161073825503	0.0159267337807606
PD38778h_lo0033	0.000318422122814152	0.285634404229362	0.42839487596584	0.131884912566084	0.124450996339976	0.00163318422122814	0.00976291175274502	0.00534444896299309	0.00357747051647011	0.000816185441236275	0.00397275315168768	0.00420943472956486
PD38778k_lo0039	0.000127126394732029	0.161833912566307	0.204801902323029	0.0556590451801719	0.0295930126211816	0.295762575452716	0.225816901408451	0.00262794951527346	0.0201399304920432	0.000970001829156759	0.00194238156209987	0.00072526065483812
PD38779b_lo0003	0.000672498250524843	0.42973477956613	0.217928621413576	0.184083275017495	0.0274912526242127	0.00903079076277117	0.0168453463960812	0.00773268019594122	0.00714205738278516	0.0179657102869139	0.0718439468159552	0.00952904128761372
PD38779b_lo0015	0.00147911227154047	0.513442558746736	0.197237597911227	0.188546997389034	0.0162532637075718	0.0117650130548303	0.00446671018276762	0.0103348563968668	0.0186951697127937	0.00651958224543081	0.0282630548302872	0.00299608355091384
PD38779c_lo0002	0.00211000662690524	0.450076209410205	0.251650099403579	0.212184890656064	0.0318860172299536	0.000795891318754142	0.00152153744201458	0.00635984095427435	0.00729158383035123	0.00286679920477137	0.0264055666003976	0.00685155732273028
PD39461f_lo0015	0.0183904109589041	0.272948630136986	0.0409554794520548	0.195606164383562	0.0263835616438356	0.0170650684931507	0.00994520547945205	0.184832191780822	0.221325342465753	0.00478082191780822	0.00480821917808219	0.00295890410958904
PD39461f_lo0045	0.0044435318275154	0.342864476386037	0.0689240246406571	0.068264887063655	0.0551622176591376	0.0167618069815195	0.0108583162217659	0.236154004106776	0.157827515400411	0.0236098562628337	0.00263039014373717	0.0124989733059548
PD39462j_lo0021	0.000375484228002214	0.190932484781406	0.167824294410625	0.157305755395683	0.204745987825125	0.177765633646929	0.0834601549529607	0.00435694521306032	0.00893718871057001	0.000633093525179856	0.00301632540121749	0.000646651909241837
PD39462j_lo0023	0.000460810099947396	0.224914781693845	0.206105733824303	0.232716991057338	0.321072067332983	0.000273014203051026	0.000780641767490794	0.00375697001578117	0.00511625460284061	0.0013387690689111	0.00179379274066281	0.00167017359284587
PD39462k_lo0023	0.000246031746031746	0.28121101774043	0.204970588235294	0.244842670401494	0.255498599439776	0.000888422035480859	0.000582633053221289	0.00203174603174603	0.0030812324929972	0.000490196078431373	0.00397619047619048	0.00218067226890756
PD39462k_lo0026	0.000988734835355286	0.307642114384749	0.171593587521664	0.214990467937608	0.287415944540728	0.00114124783362218	0.00189168110918544	0.00490987868284229	0.00458665511265165	0.00167677642980936	0.0022001733102253	0.000962738301559792
PD39462k_lo0057	0.000887868350554918	0.170453884424034	0.153497129735936	0.179755836203597	0.332662456946039	0.0753463451970915	0.0721014159969384	0.00503750478377344	0.00298545732874091	0.00140757749712974	0.00550363566781477	0.000360887868350555
PD39462k_lo0058	0.00087055417700579	0.427952853598015	0.172179073614557	0.170692721257237	0.188660876757651	0.000764681555004136	0.0101641852770885	0.00436559139784946	0.013706782464847	0.00361042183622829	0.00680934656741108	0.000222911497105046
