X0	N1	N2	N3	P4	P2	P3	N4	N5	N6	N7	P1
PD37520b_lo0114	0.000750356633380885	0.238460770328103	0.218828815977175	0.379182596291013	0.0610527817403709	0.0152182596291013	0.0186825962910128	0.0483345221112696	0.0135192582025678	0.00239871611982882	0.00189087018544936	0.00168045649072753
PD37520b_lo0115	0.00793548387096774	0.234993548387097	0.0634032258064516	0.459775806451613	0.064441935483871	0.0379	0.0243532258064516	0.0812370967741936	0.00625806451612903	0.0133693548387097	0.00426451612903226	0.00206774193548387
PD37726b_lo0008+PD37726b_lo0048	6.64610207515423e-05	0.21301065619742	0.0171253505328099	0.0404859786876052	0.427557206954571	0.264246214245653	0.00580566461020752	0.0298390353337072	0.000692933258553001	0.000715086932136848	0.000286595625350533	0.000168816601233876
PD37726b_lo0015	0.000495652173913043	0.553627826086956	0.108770434782609	0.0548365217391304	0.0153304347826087	0.0338260869565217	0.0446730434782609	0.160742608695652	0.00556	0.00306260869565217	0.0174713043478261	0.00160347826086957
PD37726b_lo0028	0.00231044776119403	0.507746268656716	0.113916417910448	0.178582089552239	0.00110746268656716	0.00441194029850746	0.0680328358208955	0.0978716417910448	0.00851940298507463	0.0103820895522388	0.00425970149253731	0.00285970149253731
PD37726b_lo0035+PD37726b_lo0181	0.000110699397869384	0.220240389069013	0.0405090319592404	0.0428976377952756	0.373653543307087	0.257060213061603	0.0173946271421955	0.0461607225567392	0.000843446039833256	0.000477535896248263	0.000497915701713756	0.000154238073182029
PD37726b_lo0054	0.00115824915824916	0.365737373737374	0.0836801346801347	0.116646464646465	0.00173063973063973	0.00563636363636364	0.144555555555556	0.24403367003367	0.0265050505050505	0.00662289562289562	0.00297643097643098	0.000717171717171717
PD37726b_lo0056	0.00117061611374408	0.514289099526066	0.0623530805687204	0.0957654028436019	0.00602369668246445	0.0132274881516588	0.0845521327014218	0.170042654028436	0.0247559241706161	0.00359241706161137	0.018260663507109	0.00596682464454976
PD37726b_lo0071+PD37726b_lo0079+PD37726b_lo0091	0.000265271966527197	0.549348117154812	0.088252719665272	0.0814744769874477	0.00730376569037657	0.0025765690376569	0.0454912133891213	0.134076987447699	0.021055230125523	0.00365188284518828	0.0654769874476987	0.00102677824267782
PD37726b_lo0076	0.00133107344632768	0.552338983050847	0.157314124293785	0.055090395480226	0.000325423728813559	0.0801276836158192	0.0943276836158192	0.0431672316384181	0.00656158192090396	0.00613107344632768	0.00258757062146893	0.000697175141242938
PD37726b_lo0154	0.00835373317013464	0.688183598531212	0.0582925336597307	0.0651223990208078	0.000294981640146879	0.00121909424724602	0.0847490820073439	0.0783194614443084	0.00956303549571603	0.00321297429620563	0.00135250917992656	0.00133659730722154
PD37726b_lo0183	9.98087954110899e-05	0.253448183556405	0.0633479923518164	0.0426741873804971	0.320469598470363	0.281819120458891	0.0254305927342256	0.0104711281070746	0.000620267686424474	0.00102485659655832	0.000210325047801147	0.000383938814531549
PD37726c_lo0046	0.000352185089974293	0.210363753213368	0.046850471293916	0.0273487574978578	0.383659811482434	0.277652527849186	0.0425766923736075	0.00465895458440446	0.00325492716366752	0.00233890317052271	0.000643530419880034	0.000299485861182519
PD37726c_lo0201	0.00102748414376321	0.614135306553911	0.160420718816068	0.0680824524312896	0.0022737843551797	0.02003911205074	0.0748615221987315	0.0175560253699789	0.00842389006342495	0.00711205073995772	0.0247928118393235	0.00127484143763214
PD37726c_lo0238	0.000513941220798794	0.374269027882442	0.0855501130369254	0.0141574981160512	0.25820572720422	0.159544084400904	0.0288862094951017	0.004939713639789	0.0387498116051243	0.00117181612660136	0.0333157498116051	0.000696307460437076
PD38777j_lo0017	0.000171452009844135	0.250528301886792	0.377056193601313	0.0552399507793273	0.00132936833470057	0.00336669401148482	0.00960500410172272	0.011922477440525	0.00674405250205086	0.000852748154224774	0.282401148482363	0.000782608695652174
PD38777k_lo0016	0.000287363494539782	0.347185335413417	0.352357254290172	0.0236390015600624	0.00373759750390016	0.00651700468018721	0.0348508580343214	0.00802527301092044	0.0708333853354134	0.000914196567862714	0.135706708268331	0.0159460218408736
PD38777k_lo0044	0.00250668193967163	0.247661321114929	0.334243986254296	0.0371374570446735	0.136743986254296	0.0944902634593356	0.0188650248186331	0.0076729667812142	0.0832626956853761	0.00308266513936617	0.0324520809469263	0.00188087056128293
PD38778b_lo0006	0.000185389221556886	0.32197125748503	0.469986826347305	0.0767520958083832	0.000534131736526946	0.00339928143712575	0.00898658682634731	0.00239592814371257	0.0464522155688623	0.00147041916167665	0.0673336526946108	0.000532215568862275
PD38778b_lo0009	0.000139390671339984	0.35172526287409	0.450451604205985	0.101913992990024	0.000327851172822863	0.000583445672688056	0.0370140199514694	0.00197438662712321	0.00722647613912106	0.00153842005931518	0.0465928821784848	0.000512267457535724
PD38778f_lo0008	0.000490295610630039	0.0971036130188116	0.488437145416542	0.123147208121827	0.00213705583756345	0.00133114362496268	0.172196775156763	0.00271484025082114	0.0587891908032248	0.0285954016124216	0.00216810988354733	0.0228892206628844
PD38778g_lo0003	0.00387926215762996	0.199996087199553	0.345737842370039	0.167674119619899	0.00900894354387926	0.00280380100614869	0.154652319731694	0.0629955282280604	0.0252515371716042	0.0150441587479039	0.00267523756288429	0.0102811626607043
PD38778g_lo0040	0.000391448733914487	0.251132420091324	0.458683271066833	0.125946450809465	0.000951432129514321	0.0021494396014944	0.0935533416355334	0.0322656704026567	0.030376504773765	0.00232337069323371	0.000482357824823578	0.00174429223744292
