sample	SNV	DNV	Indels	Total
DO44097	51896	182	1157	53235
DO472	34842	121	895	35858
DO477	34116	93	533	34742
DO479	3451	13	295	3759
DO483	19689	121	1362	21172
DO496	25212	87	645	25944
DO498	13451	64	507	14022
DO522	59185	464	1105	60754
DO536	15354	71	460	15885
DO548	12531	58	582	13171
DO555	18936	74	842	19852
DO561	20222	56	390	20668
DO575	13331	61	1032	14424
DO639	36432	342	1825	38599
DO669	9621	64	767	10452
DO675	10131	33	384	10548
DO689	12575	49	778	13402
DO695	8970	21	397	9388
DO720	12007	58	657	12722
DO804	31114	91	632	31837
DO822	9910	19	310	10239
DO828	14030	49	295	14374
DO856	38004	64	822	38890
